postalcode;city;provincecode;latitude;longitude
M5H 2N2;Toronto;ON;43.6532;-79.3832
M5V 3A8;Toronto;ON;43.6426;-79.3871
M4W 3C7;Toronto;ON;43.6795;-79.3773
M6G 1B7;Toronto;ON;43.6579;-79.4227
M4C 1M5;Toronto;ON;43.6953;-79.3102
V6B 1A7;Vancouver;BC;49.2827;-123.1207
V6E 1K1;Vancouver;BC;49.2642;-123.1339
V5K 0A1;Vancouver;BC;49.2734;-123.1029
V6K 2G8;Vancouver;BC;49.2698;-123.1558
V7Y 1C1;Vancouver;BC;49.3224;-123.0735
H2Y 1C6;Montreal;QC;45.5017;-73.5673
H3A 0G4;Montreal;QC;45.5048;-73.5772
H2X 3Y8;Montreal;QC;45.5144;-73.5698
H1X 3B8;Montreal;QC;45.5877;-73.5321
H4C 2E7;Montreal;QC;45.4823;-73.6158
K1P 5M5;Ottawa;ON;45.4215;-75.6972
K1N 5T2;Ottawa;ON;45.4292;-75.6978
K2P 0A4;Ottawa;ON;45.4152;-75.6903
K1S 5B6;Ottawa;ON;45.4036;-75.6841
K1V 9B4;Ottawa;ON;45.3514;-75.6687
T2P 3C5;Calgary;AB;51.0447;-114.0719
T2G 0L5;Calgary;AB;51.0503;-114.0652
T2E 7H7;Calgary;AB;51.0634;-114.0352
T3A 0E2;Calgary;AB;51.1338;-114.0640
T2J 6P6;Calgary;AB;50.9294;-114.1121
T5J 1E6;Edmonton;AB;53.5461;-113.4938
T5K 2G8;Edmonton;AB;53.5394;-113.5066
T6E 2R7;Edmonton;AB;53.5100;-113.5194
T5G 2A1;Edmonton;AB;53.5444;-113.5013
T6H 5C5;Edmonton;AB;53.4672;-113.4856
R3C 0P9;Winnipeg;MB;49.8951;-97.1384
R3B 0N8;Winnipeg;MB;49.8937;-97.1374
R3T 2N2;Winnipeg;MB;49.8088;-97.1478
R2M 3N4;Winnipeg;MB;49.8761;-97.1098
R3M 3Y2;Winnipeg;MB;49.8631;-97.1963
S7K 0J5;Saskatoon;SK;52.1332;-106.6700
S7N 3W2;Saskatoon;SK;52.1566;-106.6316
S7H 4H8;Saskatoon;SK;52.1000;-106.6619
S7J 0C3;Saskatoon;SK;52.1437;-106.6810
S7L 5Z5;Saskatoon;SK;52.1729;-106.6059
B3H 4R2;Halifax;NS;44.6378;-63.5906
B3K 2C8;Halifax;NS;44.6632;-63.5906
B3J 3R7;Halifax;NS;44.6479;-63.5783
B3L 4N9;Halifax;NS;44.6820;-63.6088
B3M 3Y8;Halifax;NS;44.6946;-63.6539
A1C 5V3;St. John's;NL;47.5615;-52.7126
A1A 5E8;St. John's;NL;47.5665;-52.7080
A1B 3Z9;St. John's;NL;47.5452;-52.7347
A1E 5Y7;St. John's;NL;47.5238;-52.7871
A1G 1B5;St. John's;NL;47.5053;-52.7817
C1A 8T1;Charlottetown;PE;46.2382;-63.1311
C1A 1K6;Charlottetown;PE;46.2353;-63.1291
C1E 1Z4;Charlottetown;PE;46.2274;-63.1206
C1C 1M1;Charlottetown;PE;46.2450;-63.1408
C1A 9J2;Charlottetown;PE;46.2324;-63.1256
E1C 8V9;Moncton;NB;46.0878;-64.7782
E1A 7R1;Moncton;NB;46.0947;-64.7901
E1G 0B5;Moncton;NB;46.1351;-64.7976
